AFF_LOVE_POINT	Point d'amour : %d%%
CREATE_EXIST_SAME_NAME	Un autre personnage porte déjà ce nom.
CREATE_FAILURE	Vous ne pouvez pas créer ce personnage.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Entrez le nom
CREATE_PLUS_STAT	Il y a encore des points de caractéristiques restants.
DAY	Jours
DO_YOU_BUY_ITEM1	Voulez-vous acheter %s pour %s.
DO_YOU_BUY_ITEM2	Voulez-vous acheter%s pour %s %s.
DO_YOU_DROP_MONEY	Voulez-vous abandonner %d Yangs ?
DO_YOU_SELL_ITEM1	Voulez-vous vendre %s pour %s.
DO_YOU_SELL_ITEM2	Voulez-vous vendre %s %s pour %s.
DRAGON_SOUL_CANNOT_REFINE	Vous ne pouvez pas raffiner cette pierre-dragon.
DRAGON_SOUL_CANNOT_REFINE_MORE	Cette pierre-dragon a déjà atteint le niveau le plus élevé.
DRAGON_SOUL_EQUIP_WARNING1	Il est difficile de dessertir une pierre-dragon.
DRAGON_SOUL_EQUIP_WARNING2	Souhaitez-vous tout de même continuer ?
DRAGON_SOUL_EXPIRED	Pierre-dragon vidée
DRAGON_SOUL_INVALID_DRAGON_SOUL	C'est la mauvaise pierre-dragon.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Ce n'est pas une pierre-dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Ce n'est pas la bonne pierre-dragon.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Vous n'avez pas suffisamment de matériel pour un raffinage.
DRAGON_SOUL_NOT_MATCHED_SLOT	La pierre-dragon ne rentre pas dans cet emplacement.
DRAGON_SOUL_STEP_LEVEL1	Pureté : mate.
DRAGON_SOUL_STEP_LEVEL2	Pureté : claire.
DRAGON_SOUL_STEP_LEVEL3	Pureté : pure à la loupe.
DRAGON_SOUL_STEP_LEVEL4	Pureté : brillante.
DRAGON_SOUL_STEP_LEVEL5	Pureté : excellente.
DRAGON_SOUL_STRENGTH	Niveau : +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	La pierre-dragon risque d'être détruite.
DRAGON_SOUL_UNEQUIP_WARNING2	Souhaitez-vous tout de même continuer ?
DRAGON_SOUL_UNMATCHED_SLOT	C'est le mauvais emplacement.
DRAGON_SOUL_UNQUALIFIED	Vous ne pouvez pas encore utiliser l'alchimie des pierres-dragons.
DROP_ITEM_FAILURE_EQUIP_ITEM	Vous ne pouvez pas abandonner un objet équipé.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Vous ne pouvez pas abandonner d'objet pendant que votre magasin privé est ouvert.
DROP_MONEY_FAILURE_1000_OVER	Vous ne pouvez abandonner qu'un maximum de 999 Yangs.
EMOTION_ANGRY	Contrarié
EMOTION_ATTRACTIVE	Séduction
EMOTION_BANTER	Moqueur
EMOTION_CHEERS_1	Jubilation 1
EMOTION_CHEERS_2	Jubilation 2
EMOTION_CHEERUP	Jubilation
EMOTION_CHOOSE_ONE	Choisissez une cible.
EMOTION_CLAP	Applaudissements
EMOTION_CLAP_KISS	Bise
EMOTION_CONGRATULATION	Approbation
EMOTION_DANCE_1	Danse 1
EMOTION_DANCE_2	Danse 2
EMOTION_DANCE_3	Danse 3
EMOTION_DANCE_4	Danse 4
EMOTION_DANCE_5	Danse 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_FORGIVE	Pardon
EMOTION_FRENCH_KISS	Baiser
EMOTION_JOY	Joie
EMOTION_SAD	Triste
EMOTION_SHY	Rejet
EMOTION_SLAP	Gifle
EMPIRE_A	Empire Shinsoo
EMPIRE_B	Empire Chunjo
EMPIRE_C	Empire Jinno
EXCHANGE_CANNOT_GIVE	Cet objet ne peut pas être échangé.
EXCHANGE_CANT_EDIT_MONEY	Vous ne pouvez pas échanger cette somme pour le moment.
EXCHANGE_FAILURE_EQUIP_ITEM	Vous ne pouvez pas échanger un objet équipé.
EXCHANGE_MONEY	Somme
EXCHANGE_TITLE	Echanger avec %s
FISHING_FAILURE	Vous perdez l'appât.
FISHING_NOTIFY1	il semble %s est accroché.
FISHING_NOTIFY2	Il semble que %s a/ont été attrapé(s).
FISHING_SUCCESS1	Vous avez capturé %s!
FISHING_SUCCESS2	Vous avez tiré %s hors de l'eau !
FISHING_UNKNOWN	Ça a mordu, mais vous ignorez ce qu'il y a au bout de la ligne.
FISHING_WRONG_PLACE	Je ne peux pas pêcher ici.
FOR_FEMALE	pour Femme
FOR_MALE	pour Homme
GAME_CANNOT_MINING	Vous ne pouvez pas extraire de minerai en étant à cheval.
GAME_CANNOT_PICK_ITEM	Vous ne pouvez pas ramasser cet objet, car vous ne l'avez pas gagné.
GAME_INIT_ERROR_CURSOR	Le curseur n'a pas pu être établi.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 doit être installé afin que le jeu fonctionne.\nInstallez DirectX 8.1 ou une version supérieure.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Aucune caractéristique graphique n'a été trouvée.\nVérifiez que votre carte VGA est correctement installée.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Les caractéristiques graphiques n'ont pas pu être établies.\nVérifiez que vous possédez bien une carte VGA.\nAutrement, vous pouvez activer l'accélération matérielle.\n(Placez le curseur Accélération matérielle sur Complète\nPanneau de configuration->Affichage->Paramètres->Avancés->onglet Dépannage)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La carte graphique de l'ordinateur ne supporte le mode fenêtre en Mode 32bit.\nPassez en Mode 16bit ou utilisez le mode plein écran.
GAME_INIT_ERROR_ITEM_PROTO	Pas de données d'objets.\nVeuillez réinstaller le jeu.
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe n'a pu être établi.
GAME_INIT_ERROR_MOB_PROTO	Pas de données de monstres.\nVeuillez réinstaller le jeu.
GAME_INIT_ERROR_NETWORK	Les caractéristiques Network n'ont pu être établies.\nVérifiez votre installation internet.
GAME_PICK_MONEY	Vous avez reçu %d Yangs.
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	La hauteur est supérieure à 128 Pixels.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	La hauteur est inférieure à 12 Pixels.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La largeur est supérieure à 16 Pixels.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La largeur est inférieure à 64 Pixels.
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Le jeu ne supporte pas cette image.
GUILDMARK_UPLOADER_ERROR_PATH	Déplacez cette donnée dans le dossier metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Aucun fichier image choisi.
GUILDWAR_CTF_TITLE	Drapeau capturé.
GUILDWAR_NORMAL_TITLE	Champ de bataille
GUILDWAR_QUESTION_LINE_1	La Guilde %s a déclaré la guerre à votre Guilde.
GUILDWAR_QUESTION_LINE_2	Acceptez vous ? (%s)
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Combat en arène
GUILD_BUILDING_GRADE	Grade
GUILD_BUILDING_NAME	Nom du bâtiment
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'énergie de l'Esprit du Dragon est déjà au maximum.
GUILD_COMMENT	Ecrivez
GUILD_CREATE_ERROR_INSULT_NAME	Nom de Guilde non valide
GUILD_DEFAULT_GRADE	Membres de la Guilde
GUILD_DELETE	Effacer
GUILD_DEPOSIT	Dépôt
GUILD_DO_YOU_HEAL_GSP	Voulez-vous restaurer l'Esprit du Dragon pour %d Yangs %d ?
GUILD_DO_YOU_JOIN	, vous a invité. Rejoindre cette guilde ?
GUILD_EMPTY_AREA	Territoire vide
GUILD_ENEMY_GUILD_NAME	Nom de Guilde des ennemis
GUILD_FACILITY	Bâtiment Externe
GUILD_GEM	Gemme
GUILD_HEADQUARTER	Bâtiment Principal
GUILD_HEAL_GSP	Restaurer l'Esprit du Dragon
GUILD_INFO_ENEMY_GUILD_EMPTY	Aucune
GUILD_MARK_NOT_ENOUGH_LEVEL	Niveau min. requis : 4
GUILD_NAME	Nom de Guilde
GUILD_NOT_ENOUGH_MATERIAL	Pas assez de ressources pour ce bâtiment.
GUILD_NOT_ENOUGH_MONEY	Pas assez de Yangs pour ce bâtiment.
GUILD_NO_NOTICE_PERMISSION	Vous n'avez pas les droits pour rédiger une annonce.
GUILD_OBJECT	Objets
GUILD_OFFER_EXP	Investir avec des XP
GUILD_SHORT_EXP	Pas assez de points d'expérience.
GUILD_TILE_BASEINFO	Informations de base
GUILD_TILE_BOARD	Tableau noir
GUILD_TILE_GRADE	Gestion des droits
GUILD_TILE_INFO	Informations sur la Guilde
GUILD_TILE_MEMBER	Membres de la Guilde
GUILD_TILE_SKILL	Compétence de Guilde
GUILD_WAR_LIMIT_30MIN	Temps : 30 Minutes
GUILD_WAR_REWARD_POTION	Récompense : le vainqueur reçoit une potion/
GUILD_WAR_USE_BATTLE_MAP	Lieu : Arène de guerre des guildes
GUILD_WAR_USE_NORMAL_MAP	Lieu : carte normale
GUILD_WAR_WIN_CHECK_SCORE	Le plus haut résultat gagne la guerre.
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capturez le drapeau de l'ennemi
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	et ramenez-le à votre base.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Battez tous les ennemis pour gagner
GUILD_WITHDRAW	Retrait
GUILD_YOU_DO_NOT_JOIN	Vous n'êtes membre d'aucune guilde.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Affamé.
HORSE_HEALTH2	A faim
HORSE_HEALTH3	Nourri
HORSE_LEVEL1	Cheval normal
HORSE_LEVEL2	Cheval de combat
HORSE_LEVEL3	Cheval militaire
HOUR	heures
HOW_MANY_ITEM_DO_YOU_DROP1	Souhaitez-vous abandonner %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Souhaitez-vous abandonner  %s %d?
INPUT_MATRIX_CARD_NUMBER	Entrez votre numéro de carte Matrix
INPUT_MATRIX_CARD_TITLE	Matrix Card
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Entrer le code d'effacement (voir dans options de compte).
INPUT_PRIVATE_CODE_DIALOG_TITLE	Supprimer le personnage
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Role of Return cannot be combined.
INVENTORY_REALLY_USE_ITEM	Voulez-vous utiliser cet objet ?
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Ninja débutant
JOB_ASSASSIN1	Pouvoir des Ninjas
JOB_ASSASSIN2	Mort-vivant
JOB_SHAMAN	Chamane
JOB_SHAMAN0	Chamane débutant
JOB_SHAMAN1	Pouvoir du Dragon
JOB_SHAMAN2	Pouvoir de la Lumière
JOB_SURA	Sura
JOB_SURA0	Sura débutant
JOB_SURA1	Pouvoir de la Fée Morgane
JOB_SURA2	Pouvoir de la Magie noire
JOB_WARRIOR	Guerrier
JOB_WARRIOR0	Guerrier débutant
JOB_WARRIOR1	Pouvoir d'Arahan
JOB_WARRIOR2	Pouvoir des Partisans
LEFT_TIME	Temps restant
LOGIN_CONNECT_FAILURE	Erreur lors de la connection au serveur
LOGIN_CONNECT_SUCCESS	Connexion au serveur en cours.
LOGIN_CONNETING	Connexion au serveur en cours.
LOGIN_FAILURE_ALREAY	Votre compte est déjà connecté.
LOGIN_FAILURE_BE_SAME_KEY	Problème
LOGIN_FAILURE_BLOCK_ID	Votre compte est banni
LOGIN_FAILURE_BLOCK_LOGIN	Veuillez choisir un autre serveur !
LOGIN_FAILURE_NOBILL	Votre compte n'a pas de temps de jeu.
LOGIN_FAILURE_NOT_AVAIL	Votre compte ne peut pas être utilisé.
LOGIN_FAILURE_NOT_EXIST_ID	Compte ou mot de passe incorrect
LOGIN_FAILURE_REPAIR_ID	Sur ce compte, les objets ont été restaurés
LOGIN_FAILURE_SHUTDOWN	Le serveur n'est pour le moment pas ouvert
LOGIN_FAILURE_TOO_MANY_USER	Vous ne pouvez pas vous connecter car trop de joueurs sont actuellement en ligne.
LOGIN_FAILURE_UNKNOWN	Vous ne pouvez pas vous enregistrer vous des raisons inconnues.
LOGIN_FAILURE_WEB_BLOCK	Vous avez été bloqué sur ce site. Veuillez consulter vos mails.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Vous avez entré un mauvais numéro.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Vous avez entré un mauvais numéro trois fois. La connexion va être perdue.
LOGIN_FAILURE_WRONG_PASSWORD	Compte ou mot de passe incorrect
LOGIN_INPUT_ID	Entrez le nom du compte
LOGIN_INPUT_PASSWORD	Entrez le mot de passe
LOGIN_PROCESSING	Connexion au compte en cours
MALL_CANNOT_INSERT	Vous ne pouvez placer cet objet.
MALL_PASSWORD_TITLE	Mot de passe
MAP_A1	Région de Yongan
MAP_A2	Vallée de Seungryong
MAP_A3	Zone Jayan
MAP_AG	Jungrang
MAP_B1	Zone Joan
MAP_B2	Vallée d'Imji
MAP_B3	Zone Bokjung
MAP_BAY	Baie de Néphrite
MAP_BG	Waryong
MAP_C1	Zone Pyungmoo
MAP_C2	Vallée de Bangsan
MAP_C3	Région de Bakra
MAP_CAPE	Cap du Dragon de Feu
MAP_CG	Imha
MAP_DAWN	Falaise de Gautama
MAP_DESERT	Désert de Yongbi
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Terre des Ogres
MAP_SKELTOWER	Tour de Gumsan
MAP_SNOW	Mont Sohan
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Temple de Hwang
MAP_THUNDER	Montagnes fulgurantes
MAP_TREE	Lungsam
MAP_TRENT02	Bois Rouge
MAP_WL	Grande Vallée
MESSENGER_ADD_FRIEND	Ajouter un ami
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s vous a ajouté comme ami
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accepter ?
MESSENGER_DO_YOU_DELETE	Supprimer ?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Voulez-vous supprimer le numéro de téléphone ?
MESSENGER_DO_YOU_MOVE	Voulez-vous y aller ?
MESSENGER_EMPTY_LIST	Vide
MESSENGER_FAMILY	Famille
MESSENGER_FRIEND	Ami
MESSENGER_GUILD	Guilde
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Entrez le numéro de confirmation qui sera envoyé pour votre numéro de téléphone portable.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Entrez le numéro de confirmation
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Entrez le numéro de téléphone portable pour l'envoi d'un message textuel.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Souhaitez-vous entrer le numéro maintenant ?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Entrez le numéro de téléphone portable
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Envoyer un message
MINIMAP	Ouvrir Mini-carte
MINIMAP_CANNOT_SEE	La mini carte ne peut pas être affichée.
MINIMAP_CAN_NOT_SHOW_AREAMAP	La carte générale ne peut pas être affichée.
MINIMAP_DEC_SCALE	Zoom arrière
MINIMAP_INC_SCALE	Zoom avant
MINIMAP_OBSERVER_COUNT	%d spectateurs
MINIMAP_SHOW_AREAMAP	Carte générale
MINUTE	Minutes
MONETARY_UNIT0	Yang
MONETARY_UNIT1	Dix mille
MONETARY_UNIT2	Cent million
MONEY_INPUT_DIALOG_SELLPRICE	Prix de vente :
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Vous ne pouvez pas déplacer d'objet lorsque votre magasin privé est ouvert.
MUSIC_EMPTY_MUSIC_LIST	Pas de musique de fond.
MUSIC_METIN2_DEFAULT_THEMA	Musique standard Metin2
MUSIC_NOT_SELECT_MUSIC	Pas de fichier musique choisi.
NEEFD_REST	Vous devez d'abord vous détendre.
NOT_YET_SUPPORT	N'est pas soutenu.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Vous ne pouvez pas activer le Mode guilde lorsque vous n'appartenez à aucune guilde.
OPTION_PVPMODE_NOT_SUPPORT	Vous ne pouvez pas choisir cette configuration en Mode PvP.
OPTION_PVPMODE_PROTECT	Vous devez être au moins de niveau %d pour utiliser le Mode PvP.
PARTY_BONUS_ATTACKER	Valeur d'attaque : +%d	SA
PARTY_BONUS_BERSERKER	Vitesse d'attaque : +%d	SA
PARTY_BONUS_BUFFER	Durée compétence : +%d	SA
PARTY_BONUS_DEFENDER	Défense : +%d	SA
PARTY_BONUS_EXP	Bonus EXP : %d%%	SA
PARTY_BONUS_SKILL_MASTER	PM max. : +%d	SA
PARTY_BONUS_TANKER	PV max. : +%d	SA
PARTY_BREAK_UP	Supprimer le Groupe
PARTY_DO_YOU_ACCEPT	 aimerait rejoindre le groupe.
PARTY_DO_YOU_JOIN	 vous a invité à rejoindre son groupe. Accepter ?
PARTY_EXP_DISTRIBUTION_MODE	Distribution par EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Selon niveau
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Les membres de plus haut niveau reçoivent plus d'EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	Distribution égale
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tous les membres du Groupe reçoivent autant d'EXP.
PARTY_HEAL_ALL_MEMBER	Restaure tout.
PARTY_INCREASE_AREA_150	L'écart le plus grand dans le Groupe atteint un facteur de 1,5.	SNA
PARTY_INCREASE_AREA_200	L'écart le plus grand dans le Groupe atteint un facteur de 2.	SNA
PARTY_LEAVE	Quitter le Groupe
PARTY_LONGTIME_BONUS_EXP	Bonus EXP pour un temps de jeu en groupe important : +%d%%	SA
PARTY_MEMBER_OFFLINE	[Déconnecté]
PARTY_RECALL_MEMBER	Appeler un Membre du Groupe
PARTY_REGEN_BONUS	Bonus de régénération PV + PM : +%d%%	SA
PARTY_REQUEST_DENIED	Votre demande a été rejetée.
PARTY_SET_ATTACKER	Désigner comme Attaquant.
PARTY_SET_BERSERKER	Désigner comme Berserker.
PARTY_SET_BUFFER	Désigner comme Bloqueur.
PARTY_SET_DEFENDER	Désigner comme Défenseur.
PARTY_SET_NORMAL	Rétablir les paramètres.
PARTY_SET_SKILL_MASTER	Désigner comme Maître de compétence
PARTY_SET_TANKER	Désigner comme combattant au corps-à-corps.
PARTY_SKILL_ATTACKER	Valeur d'attaque de base de l'Attaquant +%,0f
PARTY_SKILL_BERSERKER	Vitesse d'attaque du Berserker +%,0f
PARTY_SKILL_BUFFER	Durée compétence Bloqueur +%,0f
PARTY_SKILL_DEFENDER	Défense du Défenseur +%,0f
PARTY_SKILL_HP_REGEN	Régénération des PV +%,0f%%
PARTY_SKILL_PARTY_AREA	Rang du Groupe +%d%%
PARTY_SKILL_SKILL_MASTER	PM max. Maître de la Compétence +%,0f
PARTY_SKILL_SP_REGEN	Régénération des PM +%,0f%%
PARTY_SKILL_TANKER	PV max. combattant au corps-à-corps +%,0f
PARTY_SKILL_WARP	Possibilité d'appeler des membres du Groupe
PASSWORD_TITLE	Mot de passe de l'entrepôt
PICK_ITEM_TITLE	Numéro de l'objet
PICK_MONEY_TITLE	Somme
PRIVATE_SHOP_CANNOT_SELL_ITEM	Vous ne pouvez pas vendre cet objet dans un magasin.
PRIVATE_SHOP_CLOSE_QUESTION	Souhaitez-vous fermer le magasin?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nom du magasin.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prix
PVP_LEVEL0	Chevalier
PVP_LEVEL1	Noble
PVP_LEVEL2	Bon
PVP_LEVEL3	Amical
PVP_LEVEL4	Neutre
PVP_LEVEL5	Agressif
PVP_LEVEL6	Retord
PVP_LEVEL7	Malicieux
PVP_LEVEL8	Cruel
PVP_MODE_GUILD	Mode PvP - Guilde activé
PVP_MODE_KILL	PvP - Libre activé
PVP_MODE_NORMAL	PvP - Paix activée.
PVP_MODE_PROTECT	Protection PvP activée.
PVP_MODE_REVENGE	PvP - Hostile activé.
PVP_OPTION_KILL	Libre
PVP_OPTION_NORMAL	Paix
PVP_OPTION_PROTECT	Protection
PVP_OPTION_REVENGE	Hostile
QUEST_APPEND	Nouvelle mission reçue.
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Temps écoulé.
QUEST_UNLIMITED_TIME	Pas de limite de temps
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Cette objet ne peut pas être ajouté au champ d'accès rapide
RECEIVE_MESSAGE	%s vous envoie un message.
REFINE_COST	Coût de la progression : %d Yangs
REFINE_DESTROY_WARNING	Cet objet peut être détruit durant la tentative de raffinage.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Ceci augmente les chances d'upper un objet
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	mais si vous échouez, l'objet pourra être détruit. Souhaitez vous continuer ?
REFINE_DOWN_GRADE_WARNING	Le raffinage de l'objet peut lui faire perdre en niveau.
REFINE_DO_YOU_SEPARATE_METIN	Retirer toutes les pierres d'esprit présentes ?
REFINE_FAILURE	Vous avez échoué.
REFINE_FAILURE_CAN_NOT_ATTACH	%s ne peut pas être mis sur l'objet.
REFINE_FAILURE_EQUIP_ITEM	Vous ne pouvez pas améliorer un objet dont vous êtes équipé.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Aucune pierre d'esprit ne peut être retirée.
REFINE_FAILURE_NEED_BETTER_SCROLL	Vous devez avoir un personnage plus avancé.
REFINE_FAILURE_NO_GOLD_SOCKET	Il n'y a pas d'emplacement d'or pour l'ajouter %s .
REFINE_FAILURE_NO_MORE_SOCKET	Vous ne pouvez pas ajouter d'emplacement supplémentaire.
REFINE_FAILURE_NO_SOCKET0	Il n'y a pas d'emplacement libre pour la %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Vous ne pouvez ajouter aucun emplacement sur cet objet.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Cet objet ne peut pas être amélioré.
REFINE_SUCCESS	L'amélioration de l'objet s'est déroulé avec succès.
REFINE_SUCCESS_PROBALITY	Chance d'amélioration %d%%
REFINE_WARNING2	Souhaitez-vous continuer ?
SAFEBOX_ERROR	Vous avez entré un mauvais mot de passe.
SAFEBOX_SELL_DISABLE_SAFEITEM	Vous ne pouvez vendre aucun des objets sauvegardés.
SAFEBOX_WRONG_PASSWORD	Les mots de passe doivent être identiques.
SCREENSHOT_SAVE1	est sauvegardé.
SCREENSHOT_SAVE2	Fichier de capture d'écran
SCREENSHOT_SAVE_FAILURE	La capture de l'écran a échoué.
SECOND	Sec
SELECT_CAN_NOT_DELETE	Vous ne pouvez pas effacer ce personnage
SELECT_CHANGED_NAME	Vous avez changé le nom du personnage
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Ce nom de personnage existe déjà.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Réessayer
SELECT_CHANGE_FAILURE_STRANGE_NAME	Ce
SELECT_CHANGE_NAME_TITLE	Changer le nom du personnage
SELECT_DELEING	Le personnage a été effacé.
SELECT_DELETED	Suppression réussie
SELECT_DO_YOU_DELETE_REALLY	Souhaitez-vous continuer.
SELECT_EMPTY_SLOT	Ce champ est vide.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Entrez un nouveau nom de personnage
