VNUM	NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE	
137	M2SF	KNIGHT	MONSTER	MELEE	12		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	17	26	9	30	56	610	6	7	6225	9300	735	16	100	120	100	2000	175	30004	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0							0	0	0	0	0	
138	M2SF	S_KNIGHT	MONSTER	MELEE	15		AGGR	0	ANIMAL	CURSE	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	9300	13950	1830	19	100	120	100	2000	175	30003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0							0	0	0	0	0	
139	M2SF	KNIGHT	MONSTER	MELEE	17		AGGR	0	ANIMAL	CURSE	0	bear	0	36	18	27	9	37	68	875	6	7	8325	12450	1035	21	100	120	100	2000	175	30010	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0							0	0	0	0	0	
140	M2SF	S_KNIGHT	MONSTER	TANKER	20		AGGR	0	ANIMAL	CURSE	0	bear	0	36	19	27	9	52	64	1659	6	7	12000	18000	2430	25	100	120	100	2000	175	30071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0							0	0	0	0	0	
141	M2SF	KNIGHT	MONSTER	TANKER	24		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	46	85	1342	6	7	11250	16875	1455	29	100	120	100	2000	175	30053	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0							0	0	0	0	0	
142	M2SF	S_KNIGHT	MONSTER	TANKER	26		AGGR	0	ANIMAL	CURSE	0	bear	0	37	19	28	9	62	76	2342	4	12	15225	22800	3150	31	100	120	100	2000	175	30072	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0							0	0	0	0	0	
143	M2SF	KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL	CURSE	0	tiger	0	28	38	19	9	52	79	1342	6	12	11250	16875	1455	29	100	120	100	2000	175	30038	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0							0	0	0	0	0	
144	M2SF	S_KNIGHT	MONSTER	POWER	29		AGGR	0	ANIMAL	CURSE	0	tiger	0	39	30	20	10	53	98	2685	9	22	16800	25275	3510	34	100	120	100	2000	175	30023	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0							0	0	0	0	0	
151	M2SF	S_KNIGHT	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	33	41	450	6	5	3750	7500	250	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
152	M2SF	S_KNIGHT	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	45	55	800	8	10	7500	11250	500	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
153	M2SF	S_KNIGHT	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	35	43	600	6	5	4500	10500	300	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
154	M2SF	S_KNIGHT	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	54	66	1000	8	10	11250	15000	550	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
155	M2SF	S_KNIGHT	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	59	72	1200	15	20	11250	16500	625	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
171	M2SF	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	24	29	101	6	7	1350	2025	27	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
172	M2SF	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	28	34	129	6	7	1725	2550	67	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
173	M2SF	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	30	36	145	6	7	1875	2850	90	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
174	M2SF	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	30	46	180	6	7	2250	3375	132	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
175	M2SF	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	40	49	238	6	7	2775	4200	195	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
176	M2SF	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	48	59	329	6	7	3525	5250	277	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
177	M2SF	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	54	66	491	6	12	6000	9000	410	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	1.4	0	0	16764108	70105	0	0	0	0							0	0	0	0	0	
178	M2SF	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	36	44	198	6	7	2400	3675	152	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
179	M2SF	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	42	52	311	3	7	4200	6300	257	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	1.4	0	0	16764108	70105	0	0	0	0							0	0	0	0	0	
180	M2SF	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	47	56	305	6	7	3300	5025	257	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
181	M2SF	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	53	64	458	6	7	5700	8550	385	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1.4	0	0	16764108	70105	0	0	0	0							0	0	0	0	0	
182	M2SF	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	60	74	499	6	7	4575	6900	675	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
183	M2SF	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	65	79	676	6	12	7500	11250	892	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1.4	0	0	16764108	70105	0	0	0	0							0	0	0	0	0	
184	M2SF	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	59	72	468	6	12	4425	6600	640	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	16764108	70104	0	0	0	0							0	0	0	0	0	
185	M2SF	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	71	86	805	10	22	8400	12600	1017	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1.4	0	0	16764108	70105	0	0	0	0							0	0	0	0	0	
191	M2SF	S_KNIGHT	MONSTER	MELEE	30			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	mountain_dog_god	0	39	20	30	10	52	96	2940	4	12	17400	26100	6050	35	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	10	0	0	0	
192	M2SF	S_KNIGHT	MONSTER	MELEE	31			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	wild_boar_god	0	30	20	41	10	68	84	3069	14	17	17925	26850	6250	37	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	10	0	0	0	
193	M2SF	S_KNIGHT	MONSTER	TANKER	33			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	bear	0	32	22	43	11	72	88	3385	19	22	18975	28500	6650	39	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	10	0	0	0	
194	M2SF	S_KNIGHT	MONSTER	POWER	35			0	ANIMAL	STUN,SLOW,CURSE,TERROR	0	tiger	0	23	45	34	11	67	100	3616	24	27	20100	30150	7050	41	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							10	10	0	0	0	
301	M2SF	PAWN	MONSTER	MAGIC	18			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	49	60	613	6	5	4800	7275	912	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0							0	0	0	0	0	
302	M2SF	PAWN	MONSTER	MAGIC	20			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	46	70	506	6	7	9600	14400	1012	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0							0	0	0	0	0	
303	M2SF	S_PAWN	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	47	88	1115	8	12	9525	14250	2120	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0							0	0	0	0	0	
304	M2SF	S_PAWN	MONSTER	MAGIC	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	61	74	1115	8	12	9525	14250	2120	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0							0	0	0	0	0	
331	M2SF	S_PAWN	MONSTER	MELEE	18		AGGR	0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	56	69	1450	12	7	22500	33750	1395	22	110	120	35	2000	150	30034	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
332	M2SF	S_PAWN	MONSTER	RANGE	20		AGGR	0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	53	80	1622	12	7	24300	36450	1515	25	70	130	35	2000	650	30031	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
333	M2SF	KNIGHT	MONSTER	MELEE	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	28800	43200	3630	30	110	120	35	2000	150	30011	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
334	M2SF	KNIGHT	MONSTER	MELEE	25		AGGR	0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	53	99	3207	10	7	28800	43200	3630	30	110	120	35	2000	150	30073	0	0	0	0	0	10	10	0	-5	0	0	0	0	0	0	0	30	0	2	0	0	13434828	0	0	0	0	0							0	0	0	0	0	
351	M2SF	S_PAWN	MONSTER	MAGIC	18			0	HUMAN	SLOW	0	bksoldier	0	27	20	13	7	59	72	490	6	5	4800	7275	640	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	70105	0	0	0	0							0	0	0	0	0	
352	M2SF	S_PAWN	MONSTER	MAGIC	20			0	HUMAN	SLOW	0	bkarcher	0	22	29	15	7	55	84	404	6	7	9600	14400	710	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	0	0	0	0	0							0	0	0	0	0	
353	M2SF	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	56	106	892	8	12	9525	14250	1485	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	0	0	0	0	0							0	0	0	0	0	
354	M2SF	KNIGHT	MONSTER	MAGIC	25			0	HUMAN	SLOW	0	bkknight	0	35	26	18	9	73	89	892	8	12	9525	14250	1485	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	0	0	0	0	0							0	0	0	0	0	
391	M2SF	S_KNIGHT	MONSTER	MAGIC	23			0	HUMAN	SLOW	0	bksecond	0	32	16	24	8	44	82	2076	9	17	14925	22350	6510	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
392	M2SF	S_KNIGHT	MONSTER	MAGIC	26			0	HUMAN	SLOW	0	bkthird	0	36	18	27	9	48	89	2453	14	22	16725	25050	7350	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
393	M2SF	S_KNIGHT	MONSTER	MAGIC	28			0	HUMAN	SLOW	0	bkfourth	0	38	19	29	10	51	94	2692	19	27	17925	26850	7910	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
394	M2SF	S_KNIGHT	MONSTER	MAGIC	31			0	HUMAN	SLOW	0	bkboss	0	42	21	31	10	55	101	3069	19	32	19650	29475	8750	37	100	150	100	2000	175	30073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
395	M2SF	S_KNIGHT	MONSTER	MAGIC	23			0	HUMAN	SLOW	0	bksecond	0	32	16	24	8	71	86	392	9	17	14925	22350	4557	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
396	M2SF	S_KNIGHT	MONSTER	MAGIC	26			0	HUMAN	SLOW	0	bkthird	0	36	18	27	9	66	101	324	14	22	16725	25050	5145	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
397	M2SF	S_KNIGHT	MONSTER	MAGIC	28			0	HUMAN	SLOW	0	bkfourth	0	38	19	29	10	68	127	714	19	27	17925	26850	5537	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
398	M2SF	S_KNIGHT	MONSTER	MAGIC	31			0	HUMAN	SLOW	0	bkboss	0	42	21	31	10	88	107	714	19	32	19650	29475	6125	37	100	150	100	2000	175	30073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0							0	0	20	0	0	
401	M2SF	PAWN	MONSTER	MELEE	26			0	HUMAN		0	thief1	0	36	18	27	9	62	75	981	6	5	5850	8775	1837	31	100	110	50	2000	175	30032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0	
402	M2SF	PAWN	MONSTER	MELEE	27			0	HUMAN		0	thief2	0	37	19	28	9	70	100	1027	8	10	6000	9075	1907	32	80	150	50	2000	175	30074	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0							0	0	0	0	0	
403	M2SF	PAWN	MONSTER	RANGE	29			0	HUMAN		0	thief3	0	30	39	10	10	67	82	818	6	7	12825	19200	2047	34	60	150	50	2000	850	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0							0	0	0	0	0	
404	M2SF	S_PAWN	MONSTER	POWER	30			0	HUMAN		0	thiefboss1	0	30	20	45	10	65	110	1411	8	12	10200	15300	2540	35	100	100	50	2000	175	30021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0	
405	M2SF	S_PAWN	MONSTER	MELEE	33			0	HUMAN		0	thiefboss2	0	33	22	33	11	57	105	1625	6	7	11100	16650	2792	39	120	150	50	2000	175	30005	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0	
406	M2SF	S_PAWN	MONSTER	MELEE	35			0	HUMAN		0	thiefboss3	0	35	23	42	12	59	110	1736	8	12	11700	17550	2960	41	100	100	50	2000	175	30030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0							0	0	0	0	0	
